company_name,location,job_title,job_description,rating,employer_estimate,min_salary,max_salary,avg_salary,Size,Founded,Type,Industry,Sector,Revenue,skills,age,seniority,job_simp
Crossover,Amritsar,senior software engineer 2 hour learning remote  100000year usd,"Collaboration with other developers, product managers, and educational experts is key to ensuring that the solutions you build are impactful and user-centered.…
Skills: Node.js, React, Software deployment, Angular, Django",4.0,0,-1,-1,-1.0,201 to 500 Employees,2014,Company - Private,HR Consulting,Human resources and staffing,Unknown / Non-Applicable," Node.js, React, Software deployment, Angular, Django",10.0,2.0,software developer
Adobe,Noida,computer scientist ii,"If you are applying for a role outside of your current country, ensure you review the International Resources for Relocating Employees on Inside Adobe,……
Skills: Azure, Data structures, Adobe Creative Suite, Application development, AWS",4.2,0,-1,-1,-1.0,10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$2 to $5 billion (USD)," Azure, Data structures, Adobe Creative Suite, Application development, AWS",42.0,1.0,other
ANZ Banking Group,Bengaluru,security architect,"At ANZ, our Security Domain is tasked with making ANZ a safe and more secure place by ensuring our corporate and customer information is secured.…
Skills: Kubernetes, Information security, AWS, Scalability, Agile",4.0,0,-1,-1,-1.0,5001 to 10000 Employees,1835,Company - Public,Banking & Lending,Finance,Unknown / Non-Applicable," Kubernetes, Information security, AWS, Scalability, Agile",189.0,1.0,data architect
ITI Data,Hyderābād,aws glueeks data engineer,"This is a high visibility, fast-paced key initiative will integrate data across internal and external sources, provide analytical insights, and integrate with……
Skills: Oracle, XML, Spark, NoSQL, MongoDB",4.2,0,-1,-1,-1.0,201 to 500 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable," Oracle, XML, Spark, NoSQL, MongoDB",25.0,1.0,data engineer
BOEING,Bengaluru,associate software engineer net full stack,"Education/experience typically acquired through advanced education (e.g. Bachelor) and typically 5 years' related work experience or an equivalent combination……
Skills: CI/CD, ASP.NET, SAFe, Azure, Gradle",3.8,0,-1,-1,-1.0,10000+ Employees,1916,Company - Public,Aerospace and defence,Aerospace and defence,$10+ billion (USD)," CI/CD, ASP.NET, SAFe, Azure, Gradle",108.0,1.0,software developer
Aristocrat,Noida,sr engineer ii,"To design and develop HTML5/Typescript based class 3 real money digital Games with Java backend for markets across the Globe and be responsible for ensuring……
Skills: Data structures, iOS, Android, Java, Application development",3.8,0,-1,-1,-1.0,5001 to 10000 Employees,1953,Company - Public,Gambling & Betting,"Arts, entertainment and recreation",$2 to $5 billion (USD)," Data structures, iOS, Android, Java, Application development",71.0,2.0,other
Funfull Inc.,Ahmedabad,mean stack developer,"Design and implementation of data storage solutions using MongoDB. Minimum 3 years of experience as a MEAN Stack Developer or similar role.…
Skills: AJAX, Node.js, CSS, Software troubleshooting, Software deployment",,0,-1,-1,-1.0,,,,,,," AJAX, Node.js, CSS, Software troubleshooting, Software deployment",,1.0,software developer
Crossover,Visakhapatnam,senior ai engineer 2 hour learning remote  100000year usd,"Collaboration with other developers, product managers, and educational experts is key to ensuring that the solutions you build are impactful and user-centered.…
Skills: Node.js, React, Software deployment, Angular, Django",4.0,0,-1,-1,-1.0,201 to 500 Employees,2014,Company - Private,HR Consulting,Human resources and staffing,Unknown / Non-Applicable," Node.js, React, Software deployment, Angular, Django",10.0,2.0,ai engineer
ITI Data,Chennai,aws glue data engineer,"This is a high visibility, fast-paced key initiative will integrate data across internal and external sources, provide analytical insights, and integrate with……
Skills: Oracle, XML, Spark, NoSQL, MongoDB",4.2,0,-1,-1,-1.0,201 to 500 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable," Oracle, XML, Spark, NoSQL, MongoDB",25.0,1.0,data engineer
Cencora,Pune,sap pipo developer,"Develops a technical strategy for data integrations and implement a scalable design using industry best practices. Support project teams during testing.…
Skills: Azure, MVC, Cloud architecture, SAP, Google Cloud Platform",3.6,0,-1,-1,-1.0,10000+ Employees,2023,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD)," Azure, MVC, Cloud architecture, SAP, Google Cloud Platform",1.0,1.0,software developer
Cencora,Pune,analyst iii  it solutions,"Interacts with business stakeholders and various other IT process team members to ensure that specified business needs are met; assists in the post……
Skills: Power BI, CSS, SAP, Salesforce, Microsoft Office",3.6,0,-1,-1,-1.0,10000+ Employees,2023,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD)," Power BI, CSS, SAP, Salesforce, Microsoft Office",1.0,1.0,analyst
Cencora,Pune,lead engineer  salesforce  data  security,"Stay current on emerging trends and best practices in the CRM space to recommend innovative solutions that align with business goals.…
Skills: Customer service, Salesforce, Data structures, Analysis skills, Presentation skills",3.6,0,-1,-1,-1.0,10000+ Employees,2023,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD)," Customer service, Salesforce, Data structures, Analysis skills, Presentation skills",1.0,2.0,data related
Ananta Security Lab,Rājkot,laravelvue rajkot only,"As a Full Stack Developer specializing in Laravel and Vue.js, you will be responsible for developing, maintaining, and optimizing our web applications.…
Skills: CI/CD, Azure, CSS, Software troubleshooting, React",,0,-1,-1,-1.0,,,,,,," CI/CD, Azure, CSS, Software troubleshooting, React",,1.0,other
objectways,Coimbatore,nlp project manager,"The project manager role is an experienced management position for individuals who are interested in working in the Artificial Intelligence and Machine Learning……
Skills: Computer science, Azure, Management, Google Cloud Platform, AWS",,0,-1,-1,-1.0,,,,,,," Computer science, Azure, Management, Google Cloud Platform, AWS",,2.0,nlp engineer
American Express Global Business Travel,Gurgaon,workday integration developer,"Develop the skills you want when the time is right for you, with global tuition assistance, access to over 20,000 courses on our learning platform, leadership……
Skills: XML, Enterprise architecture, Java, SOAP, REST",4.2,0,-1,-1,-1.0,10000+ Employees,1915,Company - Public,Travel Agencies,Hotel and travel accommodation,Unknown / Non-Applicable," XML, Enterprise architecture, Java, SOAP, REST",109.0,1.0,software developer
Boston Consulting Group,Bengaluru,senior knowledge analyst  tmt semiconductor,"Additionally, as a SKA you will drive development of intellectual property and knowledge assets to support the TMT business, serving as an active contributor to……
Skills: Computer science, Alteryx, English, Tableau, SQL",4.2,0,-1,-1,-1.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Computer science, Alteryx, English, Tableau, SQL",61.0,2.0,analyst
Boston Consulting Group,Delhi,senior knowledge analyst  healthcare ops,"While contributing to client cases, workshops and proposals, occasional travel to serve clients onsite during staffing assignments is expected to understand……
Skills: Procurement, Software deployment, Lean, English, Agile",4.2,0,-1,-1,-1.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Procurement, Software deployment, Lean, English, Agile",61.0,2.0,analyst
Boston Consulting Group,Gurgaon,data analyst predictive india x delivery,"Our data analytics and artificial intelligence professionals mix deep domain expertise with advanced analytical methods and techniques to develop innovative……
Skills: Microsoft Powerpoint, Statistics, Power BI, Microsoft Access, Azure",4.2,0,300000,800000,550000.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Microsoft Powerpoint, Statistics, Power BI, Microsoft Access, Azure",61.0,1.0,analyst
Syneos - Clinical and Corporate - Prod,Salem,senior apex developer,"The successful candidate will be responsible for designing, developing, and maintaining Oracle database solutions to support our organization's critical……
Skills: AJAX, Performance tuning, Azure, Oracle, Clinical research",3.8,0,200000,900000,550000.0,10000+ Employees,--,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,Unknown / Non-Applicable," AJAX, Performance tuning, Azure, Oracle, Clinical research",,2.0,software developer
ANZ Banking Group,Bengaluru,data engineer,"4+ years of industry experience in data and/or software engineering, data science, business intelligence, or related fields.…
Skills: CI/CD, Data modeling, Rust, Go, Business intelligence",4.0,0,400000,900000,650000.0,5001 to 10000 Employees,1835,Company - Public,Banking & Lending,Finance,Unknown / Non-Applicable," CI/CD, Data modeling, Rust, Go, Business intelligence",189.0,1.0,data engineer
Airtel India,Gurgaon,data analyst,"We as an Organization strongly believe in data driven decision making and thrive on solving complex business problems with Analytics & Data Science.…
Skills: Statistics, Data structures, R, Tableau, SQL",4.0,0,500000,1000000,750000.0,10000+ Employees,1995,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)," Statistics, Data structures, R, Tableau, SQL",29.0,1.0,analyst
Barclays,Pune,compliance developer summer interns 2025 india,"You’ll spend time with the Compliance team building excellent foundational knowledge while getting to know our business and our people.…
Skills: Project management, Machine learning, Risk management, Data science, Data visualization",3.9,0,700000,1000000,850000.0,10000+ Employees,1690,Company - Public,Banking & Lending,Finance,$10+ billion (USD)," Project management, Machine learning, Risk management, Data science, Data visualization",334.0,0.0,intern
Galytix,Gurgaon,data architectdata modeler,"Creation of solutions that meet business needs and move towards end state architecture. Work closely with Product Owners, Solution Architects and the Data……
Skills: English, Financial services, Communication skills",3.4,0,500000,900000,700000.0,51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable," English, Financial services, Communication skills",9.0,1.0,data architect
Boston Consulting Group,Bengaluru,data analyst optimization india  x delivery,"You will collaborate with case teams to gather requirements, specify, design, develop, deliver and support analytic solutions serving client needs.…
Skills: Microsoft Powerpoint, Supply chain, Spark, Alteryx, Analysis skills",4.2,0,300000,600000,450000.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Microsoft Powerpoint, Supply chain, Spark, Alteryx, Analysis skills",61.0,1.0,analyst
Boston Consulting Group,Bengaluru,data engineering lead  x delivery,"Project Ownership: Taking full ownership of data engineering projects, from conception through execution to delivery, ensuring alignment with business……
Skills: Microsoft Powerpoint, Azure, Cassandra, Big data, Spark",4.2,0,400000,800000,600000.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Microsoft Powerpoint, Azure, Cassandra, Big data, Spark",61.0,2.0,data engineer
RajYug Solutions,Pune,interns  freshers  3 months internship,"Research and Analysis: Conduct research and analyze data to support project requirements and decision-making processes.…
Skills: Computer science, Databases, Software development, Data science, AI",1.8,0,400000,700000,550000.0,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable," Computer science, Databases, Software development, Data science, AI",,0.0,intern
Cognizant,Calcutta,trainee  junior data analyst,"Graduate/Post Graduate/ Doctorate degree in life sciences/Pharmacy/Medical sciences/Registered Nurse. For PV/Complaints Management Individuals in this role……
Skills: Data entry, SharePoint",3.7,0,400000,400000,400000.0,10000+ Employees,1994,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)," Data entry, SharePoint",30.0,0.0,analyst
Innovecture,Pune,data analyst,"O Stay updated with the latest industry trends and best practices in data analysis. O Perform data cleaning and data validation tasks to maintain data integrity……
Skills: Power BI, Azure, Big data, Spark, R",4.6,0,500000,1000000,750000.0,51 to 200 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)," Power BI, Azure, Big data, Spark, R",17.0,1.0,analyst
BOEING,Bengaluru,associate software engineer,"Bachelor’s degree or higher in computer science, aerospace or other closely related field and 3-4 or more years' related work experience.…
Skills: CI/CD, Azure, Rust, Go, Node.js",3.8,1,800000,1000000,900000.0,10000+ Employees,1916,Company - Public,Aerospace and defence,Aerospace and defence,$10+ billion (USD)," CI/CD, Azure, Rust, Go, Node.js",108.0,1.0,software developer
CODEC Networks,Delhi,data science  analytic,"1 to 2 years developing and implementing data analytics methodologies with good interpersonal with excellent communication skills.…
Skills: Data mining, Big data, Spark, R, Apache Hive",3.8,0,300000,800000,550000.0,1 to 50 Employees,2011,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable," Data mining, Big data, Spark, R, Apache Hive",13.0,1.0,data scientist
Imurgence,Remote,data science ml ai technical code writer for blogs,"Understanding the instructions specified, write code for a implementation. Creatively write the explanation for the code implementation.…
Skills: Data science, AI",4.0,0,700000,900000,800000.0,Unknown,--,Company - Private,--,--,Unknown / Non-Applicable," Data science, AI",,1.0,data scientist
Boston Consulting Group,Gurgaon,lead data scientist india  bcg x,"We are seeking a strong candidate with significant advanced analytics experience to fill an exciting Lead Data Scientist (LDS) position within BCG X. The LDS is……
Skills: Spark, Project management, Data science",4.2,0,700000,1000000,850000.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Spark, Project management, Data science",61.0,2.0,data scientist
Autodesk,Bengaluru,data analyst,"The EAX team is chartered with building innovative data products and analytics solutions to support business needs for Autodesk’s strategy, marketing, sales and……
Skills: Microsoft Powerpoint, Power BI, Data mining, Business intelligence, Big data",4.3,0,300000,600000,450000.0,10000+ Employees,1982,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD)," Microsoft Powerpoint, Power BI, Data mining, Business intelligence, Big data",42.0,1.0,analyst
Deutsche Bank,Bengaluru,analytics  data analyst,"BS or higher degree in a relevant field such as Computer Science, Economics, Finance or Mathematics. Support fellow Analysts, client services teams and wider……
Skills: Microsoft Excel, Microsoft Access, Microsoft SQL Server, SSRS, Tableau",3.9,0,700000,1000000,850000.0,10000+ Employees,1870,Company - Public,Banking & Lending,Finance,$10+ billion (USD)," Microsoft Excel, Microsoft Access, Microsoft SQL Server, SSRS, Tableau",154.0,1.0,analyst
Amex,Gurgaon,senior analystdata analytics,"Flexible working model with hybrid, onsite or virtual arrangements depending on role and business need. Strong technical and analytical skills with ability to……
Skills: Computer science, Big data, Analysis skills, Analytics",4.1,0,300000,800000,550000.0,10000+ Employees,1850,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD)," Computer science, Big data, Analysis skills, Analytics",174.0,2.0,analyst
OMFYS Technologies India Pvt Ltd,Pune,data analyst trainee,"Should be an excellence in client relationship management and project co-ordination Excellent written and verbal communication skills Ability to quickly learn……
Skills: Microsoft Powerpoint, Data modeling, Microsoft Excel, SAS, R",3.3,0,400000,600000,500000.0,51 to 200 Employees,2013,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable," Microsoft Powerpoint, Data modeling, Microsoft Excel, SAS, R",11.0,0.0,analyst
Eoraa & Co.,Delhi,data scientist,"Proficient with Python/R. Strong communication and presentation skills. Knowledge of various analytical approaches.…
Skills: R, Communication skills, Python",3.7,0,600000,700000,650000.0,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable," R, Communication skills, Python",,1.0,data scientist
Genpact,Gurgaon,management trainee  data  insights analyst,"In this role, you'll be responsible for all the activities related to Power BI domain and for rapid simulation and understanding of existing applications and……
Skills: Power BI, Data modeling, Microsoft Excel, Azure, Oracle",3.9,0,500000,1000000,750000.0,10000+ Employees,1997,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD)," Power BI, Data modeling, Microsoft Excel, Azure, Oracle",27.0,0.0,analyst
Varuna Group,Gurgaon,data analyst  data scientist,"Analyzing Data or Information - Identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts……
Skills: Pricing",3.3,0,200000,500000,350000.0,1001 to 5000 Employees,--,Company - Private,--,--,Unknown / Non-Applicable, Pricing,,1.0,data scientist
One Impression,Gurgaon,data analyst,"Data Insights: Deliver insights and analysis using statistical tools, and data visualization for business use cases, enabling data-driven decision-making for……
Skills: Power BI, Microsoft Excel, R, Data analysis skills, Apache Hive",3.3,0,600000,900000,750000.0,51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD)," Power BI, Microsoft Excel, R, Data analysis skills, Apache Hive",7.0,1.0,analyst
Boston Consulting Group,Bengaluru,data analyst predictive india x delivery,"Our data analytics and artificial intelligence professionals mix deep domain expertise with advanced analytical methods and techniques to develop innovative……
Skills: Microsoft Powerpoint, Statistics, Power BI, Microsoft Access, Azure",4.2,0,-1,-1,-1.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Microsoft Powerpoint, Statistics, Power BI, Microsoft Access, Azure",61.0,1.0,analyst
Boston Consulting Group,Bengaluru,data analyst business modelling india x delivery,"You will collaborate with various teams to gather requirements, specify, design, develop, deliver, and support analytic solutions serving the client's needs.…
Skills: Microsoft Powerpoint, Power BI, Microsoft Excel, Spark, Alteryx",4.2,0,-1,-1,-1.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Microsoft Powerpoint, Power BI, Microsoft Excel, Spark, Alteryx",61.0,1.0,analyst
Cencora,Pune,lead data engineer  data engineering,"➢ Participate in an on-call rotation to address and resolve technical escalations. In this role, you will be responsible for building scalable solutions in the……
Skills: Jira, CI/CD, Cloud infrastructure, System administration, Azure",3.6,0,-1,-1,-1.0,10000+ Employees,2023,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD)," Jira, CI/CD, Cloud infrastructure, System administration, Azure",1.0,2.0,data engineer
Cencora,Pune,architect i  software engineering,"Develops a technical strategy for data integrations and implement a scalable design using industry best practices. Provides Level 2 and 3 support.…
Skills: Azure, Cloud architecture, SAP HANA, SAP, Google Cloud Platform",3.6,0,-1,-1,-1.0,10000+ Employees,2023,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD)," Azure, Cloud architecture, SAP HANA, SAP, Google Cloud Platform",1.0,1.0,data architect
American Express Global Business Travel,Gurgaon,software development engineer ii,"Develop the skills you want when the time is right for you, with global tuition assistance, access to over 20,000 courses on our learning platform, leadership……
Skills: CSS, Software troubleshooting, React, Data structures, NoSQL",4.2,0,-1,-1,-1.0,10000+ Employees,1915,Company - Public,Travel Agencies,Hotel and travel accommodation,Unknown / Non-Applicable," CSS, Software troubleshooting, React, Data structures, NoSQL",109.0,1.0,software developer
Wolfram,Bhubaneshwar,applications developer independent contractor—bhubaneswar india,"Solid computational background in specific branch of engineering, science or mathematics. Staying abreast of industry trends and emerging technologies in data……
Skills: R, Java, Machine learning, Data science, AI",,0,-1,-1,-1.0,,,,,,," R, Java, Machine learning, Data science, AI",,1.0,software developer
Bristol-Myers Squibb,Hyderābād,senior manager  gps data solutions delivery,"Collaborate with different teams across GPS & GPS BIA organizations to assist in developing data requirements, data refinement business rules, acceptance……
Skills: Microsoft Excel, Azure, Web development, SAP, Tableau",,0,-1,-1,-1.0,,,,,,," Microsoft Excel, Azure, Web development, SAP, Tableau",,2.0,manager
Boston Consulting Group,Gurgaon,data analyst business modelling india x delivery,"You will collaborate with various teams to gather requirements, specify, design, develop, deliver, and support analytic solutions serving the client's needs.…
Skills: Microsoft Powerpoint, Power BI, Microsoft Excel, Spark, Alteryx",4.2,0,-1,-1,-1.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Microsoft Powerpoint, Power BI, Microsoft Excel, Spark, Alteryx",61.0,1.0,analyst
Boston Consulting Group,Bengaluru,data  analytics lead client ops india  x delivery,"This global business unit is an integral part of BCG’s strategy to develop new digital client service offerings in order to deliver superior value and sustained……
Skills: Microsoft Powerpoint, Statistics, Computer science, Power BI, Microsoft Access",4.2,0,-1,-1,-1.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Microsoft Powerpoint, Statistics, Computer science, Power BI, Microsoft Access",61.0,2.0,analyst
Boston Consulting Group,Bengaluru,senior data analyst client ops predictive india x delivery,"As a part of BCG's X OPERATE team you will be working to accelerate a growing business focused on Hyper Care, premium Maintenance / Support for BCG Software and……
Skills: Microsoft Powerpoint, Statistics, Power BI, Microsoft Access, Azure",4.2,0,-1,-1,-1.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Microsoft Powerpoint, Statistics, Power BI, Microsoft Access, Azure",61.0,2.0,analyst
Cencora,Pune,engineer iii  software engineering in,"Consults with the business to determine logical design for new business solutions according to existing data architecture. Big Data Frameworks like Hadoop.…
Skills: Jira, Authentication, ASP.NET, SAFe, Cloud infrastructure",3.6,0,-1,-1,-1.0,10000+ Employees,2023,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD)," Jira, Authentication, ASP.NET, SAFe, Cloud infrastructure",1.0,1.0,software developer
BOEING,Bengaluru,it business functional analyst,"IT Business/Functional Analysts collaborate with business and product stakeholders to define and document the ‘business need’ into clear and precise……
Skills: Asset management, SAFe, Supply chain, Product management, UML",3.8,0,-1,-1,-1.0,10000+ Employees,1916,Company - Public,Aerospace and defence,Aerospace and defence,$10+ billion (USD)," Asset management, SAFe, Supply chain, Product management, UML",108.0,1.0,analyst
