,company_name,location,job_title,job_description,salary_estimate,other_details,rating
0,Procter & Gamble,Mumbai,Senior Manager – SAP Security Governance: Risk and Compliance Management,"The Senior Manager’s role will ensure that the SAP Security Strategy and Risk and Compliance Management frameworks are always up-to-date, new threats are……
Skills: SAP, SOX, Analysis skills, SAP S/4HANA, RMF",₹4L - ₹7L (Glassdoor Est.),"Size
10000+ Employees
Founded
1837
Type
Company - Public
Industry
Consumer Product Manufacturing
Sector
Manufacturing
Revenue
$10+ billion (USD)",4.1
1,S&P Global,Gurgaon,Apprentice – Data Analyst,"We are responsible for assuring that data impacts are evaluate, understood, and communicated across all teams so that business continuity is maintained.…
Skills: Business intelligence, Relational databases, Tableau, Databases, SQL",₹5L - ₹7L (Glassdoor Est.),"Size
10000+ Employees
Founded
1860
Type
Company - Public
Industry
Research and development
Sector
Management and consulting
Revenue
$10+ billion (USD)",4.1
2,Oracuz Infotech Pvt Ltd,Remote,Data Science Intern,"You will be assigned with module projects and tasks during the internship and on the basis of performance and availability of vacancies you will be hired.…
Skills: Web development, Machine learning, Data science",₹5T (Employer Est.),,
3,Optum,Bengaluru,Manager Data Scientist,"As an Associate Manager, you will play a critical role in driving the success of our Data Science projects, leading a team of data scientists, and delivering……
Skills: TensorFlow, Big data, SQL, Analysis skills, Machine learning",₹10L (Glassdoor Est.),,
4,ITI Data,Chennai,AWS Glue Data Engineer,"Require Financial Services industry experience. This is a high visibility, fast-paced key initiative will integrate data across internal and external sources,……
Skills: Oracle, XML, Spark, NoSQL, MongoDB",₹2L - ₹9L (Glassdoor Est.),"Size
201 to 500 Employees
Founded
1999
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable",4.2
5,Adobe,Bengaluru,Senior Computer Scientist,"As a key member of the team you will be expected to design, build, test and deploy stable, scalable and simple solutions.…
Skills: TensorFlow, Image processing, Azure, Kubernetes, Computer vision",₹12L - ₹16L (Employer Est.),"Size
10000+ Employees
Founded
1982
Type
Company - Public
Industry
Computer Hardware Development
Sector
Information Technology
Revenue
$2 to $5 billion (USD)",4.2
6,Ananta Consulting Group,India,Software Engineer (Vadodara),"· Stay up to date on latest technology and leverage those technologies to enhance the current systems and process to make them more efficient.…
Skills: FTP, Azure, React, NFS, Web development",₹9L - ₹10L (Glassdoor Est.),,
7,S&P Global,Bengaluru,"Apprentice, Data Science","Knowledge of data science and data transformation processes. Flexible Downtime: Generous time off helps keep you energized for your time on.…
Skills: SQL, Analysis skills, Data science, Data visualization, Communication skills",₹15T - ₹20T (Employer Est.),"Size
10000+ Employees
Founded
1860
Type
Company - Public
Industry
Research and development
Sector
Management and consulting
Revenue
$10+ billion (USD)",4.1
8,Wisdom college for creativity & design,Ghaziabad,Data Science Trainee,"Acquire data from primary or secondary data sources and maintain databases/data systems. Use statistical methods to analyze data and generate useful business……
Skills: SQL, Data science, AI, Python",₹10T - ₹16T (Employer Est.),,
9,Medtek.AI,Noida,DATA SCIENCE INTERN,"Ability to work in cross-functional, multi-cultural and international clinical trial teams. Performing data manipulation, analysis, and reporting of clinical……
Skills: Statistics, Oracle, SAS, R, Tableau",₹3L - ₹10L (Glassdoor Est.),"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",3.2
10,Lincode,Remote,Data Science Intern,"Collaborate with cross-functional teams to integrate computer vision solutions into products. Assist in the development and implementation of computer vision……
Skills: TensorFlow, Image processing, Azure, Computer vision, Google Cloud Platform",₹3L - ₹8L (Glassdoor Est.),"Size
1 to 50 Employees
Founded
2017
Type
Company - Private
Industry
Enterprise Software & Network Solutions
Sector
Information Technology
Revenue
Less than $1 million (USD)",3.2
11,Boston Consulting Group,Gurgaon,"AI Engineer, India - BCG X","1-3 years of relevant work experience in data science, machine learning, artificial intelligence, or big data. Knowledge of API frameworks Django, Flask etc.…
Skills: Azure, Big data, Spark, R, Java",₹6L - ₹9L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
12,Alignerr,Remote,"Coders - AI Training (Freelance, Remote) IN","As an AI Tutor - Coding, you'll play a critical role in shaping the future of AI. Proficiency working with any of the the following (in addition to the……
Skills: MATLAB, Rust, Go, C#, R",₹10T (Employer Est.),"Size
Unknown
Founded
--
Type
Company - Public
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",
13,Boston Consulting Group,Gurgaon,"Data Scientist, India - BCG X","As a Data Scientist at BCG, you will collaborate on challenging projects to increasing your understanding of complex business problems from diverse perspectives……
Skills: Image processing, Azure, Big data, R, Google Cloud Platform",₹4L - ₹10L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
14,Optum,Haryāna,Sr AI/ML Engineer,"Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to,……
Skills: Presentation skills, Machine learning, Deep learning, Natural language processing, Data science",₹10L (Glassdoor Est.),,
15,RELX,Gurgaon,Data Research Analyst,"Working flexible hours - flexing the times when you work in the day to help you fit everything in and work when you are the most productive.…
Skills: Research, Analysis skills, Data science, Communication skills",₹2L - ₹10L (Glassdoor Est.),"Size
10000+ Employees
Founded
1880
Type
Company - Public
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
$10+ billion (USD)",4.1
16,Imurgence,India,Junior Data Science Team Member,"Alternatively, an extraordinary curiosity about business and industry. Discuss, brainstorm on new modules with the senior team, write business logic with……
Skills: Statistics, Microsoft Excel, Data mining, R, SQL",₹3L - ₹9L (Glassdoor Est.),"Size
Unknown
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",4.0
17,GeoTechnosoft,Noida,Python/Data Science Intern - Patna(onsite),"Assist our data scientists with tasks like data analysis, machine learning exploration, and creating insightful reports.…
Skills: Power BI, Data structures, SQL, Machine learning, Data science",₹5L - ₹9L (Glassdoor Est.),,
18,A Plus Topper,Remote,Data Science Internship,"Support the development of data-driven solutions to optimize processes. Research and experiment with new tools and techniques in data science.…
Skills: CSS, SQL, Statistical analysis, Database management, Machine learning",₹5L - ₹10L (Glassdoor Est.),"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",4.3
19,Nest Software Private Limited,India,Data Science AI Internship,"Assist in the design, development, and deployment of AI-driven applications and solutions. Stay updated with the latest trends and advancements in data science……
Skills: Azure, Big data, Spark, Google Cloud Platform, SQL",₹5L (Glassdoor Est.),"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",1.9
20,Boston Consulting Group,Mumbai,Data Architect,"Keep pace with industry trends to ensure our cloud data center designs and infrastructure layer architectures remain cutting-edge and client-focused.…
Skills: Azure, Cloud architecture, PCI, Kubernetes, Big data",₹85T - ₹9L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
21,Boston Consulting Group,Bengaluru,Data Engineer - X Delivery,"You will collaborate closely with cross-functional teams, including data scientists, analysts, and business stakeholders, to deliver high-quality data solutions……
Skills: Microsoft Powerpoint, CI/CD, Azure, Cassandra, Kubernetes",₹5L - ₹9L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
22,ONLEI Technologies,Remote,Data Science Trainer,"As a Data Science & Analytics trainer, you will be responsible for training college students , freshers and Professionals . We are looking to hire a Data……
Skills: Data science",₹4L - ₹9L (Glassdoor Est.),"Size
201 to 500 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",5.0
23,Adobe,Noida,Computer Scientist II,"If you are applying for a role outside of your current country, ensure you review the International Resources for Relocating Employees on Inside Adobe,……
Skills: Azure, Data structures, Adobe Creative Suite, Application development, AWS",₹25L - ₹40L (Employer Est.),"Size
10000+ Employees
Founded
1982
Type
Company - Public
Industry
Computer Hardware Development
Sector
Information Technology
Revenue
$2 to $5 billion (USD)",4.2
24,Dun & Bradstreet,Mumbai,Data Science - Intern,"Demonstrated problem-solving abilities and a passion for working with big data. Perform statistical analysis, identify data anomalies, and summarize data……
Skills: Microsoft Powerpoint, Computer science, Power BI, Microsoft Excel, Big data",₹7L - ₹10L (Glassdoor Est.),"Size
5001 to 10000 Employees
Founded
1841
Type
Company - Public
Industry
Business consulting
Sector
Management and consulting
Revenue
$2 to $5 billion (USD)",3.9
25,Sagility,Bengaluru,Data Science,"Machine learning (Regression, Classification models etc) - intermediate. Computer Vision & NLP - optional but will have added advantage.…
Skills: Image processing, R, English, SQL, Machine learning",₹4L - ₹6L (Glassdoor Est.),"Size
10000+ Employees
Founded
2022
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable",3.4
26,Boston Consulting Group,Bengaluru,"Data Analyst, Optimization, India - X Delivery","You will collaborate with case teams to gather requirements, specify, design, develop, deliver and support analytic solutions serving client needs.…
Skills: Microsoft Powerpoint, Supply chain, Spark, Alteryx, Analysis skills",₹2L - ₹5L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
27,Boston Consulting Group,Gurgaon,"Data Analyst, Predictive, India- X Delivery","Our data analytics and artificial intelligence professionals mix deep domain expertise with advanced analytical methods and techniques to develop innovative……
Skills: Microsoft Powerpoint, Statistics, Power BI, Microsoft Access, Azure",₹8T - ₹25T (Employer Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
28,Boston Consulting Group,Delhi,Global IT QA Software Engineer Senior Manager – Gen AI/ LLM,"Knowledge of industry standards and best practices in AI/LLM quality engineering. You will collaborate with cross-functional teams including data scientists,……
Skills: Software deployment, Information security, Java, Analysis skills, Project management",₹10T - ₹18T (Employer Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
29,NatWest Digital X,Gurgaon,Data Science Lead,"You’ll also understand the complex requirements and needs of business stakeholders along with developing strong relationships, forming hypotheses and……
Skills: Procurement, R, Machine learning, Agile, Financial services",₹6L - ₹8L (Glassdoor Est.),"Size
10000+ Employees
Founded
1727
Type
Company - Public
Industry
Banking & Lending
Sector
Finance
Revenue
$10+ billion (USD)",4.0
30,Atlassian,Bengaluru,"Software Engineer, Data Science","You'll be responsible for the design, build and maintenance of tools that enable our Support Engineers and related teams to be more effective and efficient at……
Skills: Software deployment, Microservices, SQL, Docker, Machine learning",₹4L - ₹10L (Glassdoor Est.),"Size
5001 to 10000 Employees
Founded
2002
Type
Company - Public
Industry
Software Development
Sector
Information Technology
Revenue
Unknown / Non-Applicable",3.8
31,ANZ Banking Group,Bengaluru,Data Scientist,"Initiate, design and implement innovative capabilities in the field of data science and data analytics. As a Data Scientist, you are accountable for developing ……
Skills: Software deployment, SQL, Presentation skills, Machine learning, Data management",₹3L - ₹8L (Glassdoor Est.),"Size
5001 to 10000 Employees
Founded
1835
Type
Company - Public
Industry
Banking & Lending
Sector
Finance
Revenue
Unknown / Non-Applicable",4.0
32,ANZ Banking Group,Bengaluru,Data Engineer,"4+ years of industry experience in data and/or software engineering, data science, business intelligence, or related fields.…
Skills: CI/CD, Data modeling, Rust, Go, Business intelligence",₹8L - ₹9L (Glassdoor Est.),"Size
5001 to 10000 Employees
Founded
1835
Type
Company - Public
Industry
Banking & Lending
Sector
Finance
Revenue
Unknown / Non-Applicable",4.0
33,C2Perform India,Delhi,Director of Development Operations,"The role is dedicated to transforming the way business functions interact with technology; therefore, you will serve as a visionary leader and advisor to our……
Skills: Data modeling, Cloud architecture, Node.js, CSS, React",₹25L - ₹36L (Employer Est.),,
34,Boston Consulting Group,Bengaluru,"Data & Analytics Lead, Client Ops, India - X Delivery","This global business unit is an integral part of BCG’s strategy to develop new digital client service offerings in order to deliver superior value and sustained……
Skills: Microsoft Powerpoint, Statistics, Computer science, Power BI, Microsoft Access",₹5L - ₹17L (Employer Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
35,Publicis Groupe,Gurgaon,Associate Data Analytics,"The platform is an integral part of media ways of working to ensure consistency in across markets and requires ongoing central management from an ambitious……
Skills: Google AdWords, Analysis skills, Project management, Data management, Data entry",₹10T - ₹30T (Employer Est.),"Size
10000+ Employees
Founded
1926
Type
Company - Public
Industry
Advertising & Public Relations
Sector
Media and communication
Revenue
$5 to $10 billion (USD)",3.8
36,BigSpire Software,India,Associate Data Analytics - Freshers,"Skill Sets: Should have a good communication skills, knowledge in Hadoop, MapReduce concepts and analytical skills Qualifications: Bachelor or Master degree……
Skills: Analysis skills, Communication skills, Hadoop",₹5L - ₹9L (Glassdoor Est.),"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",3.9
37,Ignitho,Chennai,Associate - Data Science (ML),"Bachelor’s degree in computer science, Statistics, Mathematics, or related field; master’s degree preferred. Work on LLM/Gen AI based applications.…
Skills: Machine learning, Natural language processing, Data science, AI, Communication skills",₹3L - ₹6L (Employer Est.),"Size
51 to 200 Employees
Founded
2016
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable",4.3
38,LeadsRank LLP,Chandigarh,Data Science Intern - Chandigarh,"Ability to work with large data sets using Python. Have a strong background in Python programming, MySQL, Linux, and Machine Learning.…
Skills: TensorFlow, Machine learning, Natural language processing, Cloud computing, Linux",₹30T - ₹80T (Employer Est.),,
39,JPMorgan Chase & Co,India,Data Science - Machine Learning - Associate,"Identify key data sources that can make business impacts. Proficient in Visualization and story telling which can make an impact to the business .…
Skills: Statistics, Performance tuning, Data modeling, Alteryx, Data analysis skills",-1,"Size
10000+ Employees
Founded
1799
Type
Company - Public
Industry
Banking & Lending
Sector
Finance
Revenue
$10+ billion (USD)",4.0
40,Wahy Lab Solutions,Cochin,Data Science Intern,"we are hiring Data Science Interns , qualification : any , freshers can Apply Job Types: Full-time, Permanent, Fresher Schedule: * Monday to Friday Work……
Skills: Data science",-1,"Size
Unknown
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",3.5
41,S&P Global,Hyderābād,Senior MLOps Engineer,"In this role, you will play a pivotal role in implementing our machine learning operations, ensuring the seamless deployment, monitoring, and management of our……
Skills: CI/CD, Elasticsearch, Big data, NoSQL, Git",-1,"Size
10000+ Employees
Founded
1860
Type
Company - Public
Industry
Research and development
Sector
Management and consulting
Revenue
$10+ billion (USD)",4.1
42,Infosys,Bengaluru,Data Science,"Anchor ML development track in a client project • Data collection, profiling, EDA & data preparation • AI Model development, experimentation, tuning &……
Skills: R, SQL, Project management, Machine learning, Natural language processing",-1,"Size
10000+ Employees
Founded
1981
Type
Company - Public
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
$10+ billion (USD)",3.7
43,Innovecture,Pune,Junior Data Scientist,"O Maintain and optimize data storage solutions, ensuring data integrity and accessibility. O Ensure data is collected, transformed, and loaded efficiently from……
Skills: Power BI, Azure, Big data, Spark, R",-1,"Size
51 to 200 Employees
Founded
2007
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
$5 to $25 million (USD)",4.6
44,EVOLVE ROBOTICS,India,Data Science Trainee,"Responsibilities: Direct responsibility for all the training activities conducted under each area (regular training program, campus program, student projects).…
Skills: R, SQL, AWS, Machine learning, Natural language processing",-1,,
45,Foundry- Internships,Bengaluru,Data Science Intern,"Based on their interests and our business needs, interns will be placed in roles that best suit them. Thorough grasp of computer science principles.…
Skills: Computer science, C#, .NET, Analysis skills, Math",-1,,
46,Diverse Infotech,Gurgaon,Data Science Analytics,"Data Science Analytics Diverse Infotech Pvt. Ltd. - Gurgaon Required Experience - 2+……
Skills: Data science",-1,"Size
1 to 50 Employees
Founded
2008
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable",4.0
47,Boston Consulting Group,Delhi,Global IT Data Solution Architect Senior Manager,"Collaborate with Enterprise Architects and other Solution Architects and engineers to architect and design technical solutions that are aligned with enterprise……
Skills: Azure, Application development, AWS, Data management, APIs",-1,"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
48,BOEING,Bengaluru,Lead Data Scientist,"Bachelor’s degree or higher in computer science or other closely related fields. Exhibits confidence and an extensive knowledge of emerging industry practices……
Skills: MATLAB, Big data, Mobile applications, Business analysis, System design",-1,"Size
10000+ Employees
Founded
1916
Type
Company - Public
Industry
Aerospace and defence
Sector
Aerospace and defence
Revenue
$10+ billion (USD)",3.8
49,SatSure Analytics India,Bengaluru,Data Science Intern,"To perform exploratory data analysis to understand datasets, identify patterns, and prepare data for model training.…
Skills: TensorFlow, Image processing, Computer vision, Analysis skills, Machine learning",-1,"Size
51 to 200 Employees
Founded
2017
Type
Company - Private
Industry
Enterprise Software & Network Solutions
Sector
Information Technology
Revenue
Unknown / Non-Applicable",4.1
50,Excellent Opportunity,Remote,Python Data Scientist/Analyst,"You'll be interacting and validating the output of an LLM (asking questions based on an open source data set and then verifying and providing feedback on the……
Skills: Data analysis skills, English, AI, Communication skills, Python",-1,,
51,Datamites,Pune,Data Science Trainer,"Bachelor's degree or higher in a relevant field such as Computer Science, Mathematics, Statistics, or Engineering. Strong analytical and problem-solving skills.…
Skills: R, Data analysis skills, Databases, Analysis skills, Machine learning",-1,,
52,Boston Consulting Group,Delhi,Global Data Scientist Senior Manager,"Our data analytics and artifical intelligence professionals mix deep domain expertise with advanced analytical methods and techniques to develop innovative……
Skills: TensorFlow, Statistics, Power BI, Azure, Kubernetes",-1,"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
53,DeepTek Medical Imaging,Pune,JD For Data Science Intern,"Knowledge of Python, Basic knowledge of deep learning. Completed or pursuing a Bachelor’s in relevant fields such as Computer Science, Data Science, or a……
Skills: Deep learning, Natural language processing, Data science, Communication skills, Python",-1,"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",4.0
54,Infowiz Software Solution,Chandigarh,DATA SCIENCE,"Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.…
Skills: Machine learning, Data science",-1,"Size
51 to 200 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",4.5
55,Tata Technologies,Bengaluru,Junior DATA ENGINEER,"Bachelor's degree in Computer Science, Software Engineering, or a related field• Up to 2 years of experience in software developm ent with exposure to AI or……
Skills: Ontology, Azure, AWS, Analysis skills, Machine learning",-1,"Size
10000+ Employees
Founded
1989
Type
Company - Private
Industry
Research and development
Sector
Management and consulting
Revenue
$100 to $500 million (USD)",3.8
56,Gururo,Remote,Data Scientist,"Analyze data and interpret data problems. Lead data collection and data mining processes. Expertise in statistical data analysis and predictive data modeling.…
Skills: MATLAB, Data modeling, Data mining, R, Databases",-1,"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",5.0
57,myOnsite Healthcare LLC,Vadodara,Android Developer,"*Problem-Solving Skills: *Ability to diagnose and resolve complex technical issues, optimize application performance, and innovate solutions that enhance user……
Skills: Git, Java, Project management, Quality assurance, Machine learning",-1,"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",3.3
58,Smart Capital Center,Remote,AI Prompt Engineer / Junior,"*Collaboration:* Although working independently, you will communicate and collaborate with AI researchers, data scientists, and other stakeholders to align……
Skills: Research, Analysis skills, Machine learning, Natural language processing, Data science",-1,"Size
1 to 50 Employees
Founded
2020
Type
Company - Private
Industry
Internet & Web Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable",3.8
59,FELIX HOSPITAL,Noida,Data Analyst,"Proficiency in using query languages such as SQL and experience of working with relationaland non-relational databases like mySQL, PostGres, Presto, Mongo ……
Skills: Statistics, Data mining, Relational databases, Tableau, SQL",-1,,
60,Procter & Gamble,Mumbai,Senior Manager – SAP Security Governance: Risk and Compliance Management,"The Senior Manager’s role will ensure that the SAP Security Strategy and Risk and Compliance Management frameworks are always up-to-date, new threats are……
Skills: SAP, SOX, Analysis skills, SAP S/4HANA, RMF",₹4L - ₹7L (Glassdoor Est.),"Size
10000+ Employees
Founded
1837
Type
Company - Public
Industry
Consumer Product Manufacturing
Sector
Manufacturing
Revenue
$10+ billion (USD)",4.1
